name,location
State Farm Arena,
TD Garden,
Barclays Center,
Spectrum Center,
United Center,
Rocket Mortgage FieldHouse,
American Airlines Center,
Pepsi Center,
Little Caesars Arena,
Chase Center,
Toyota Center,
Bankers Life Fieldhouse,
Staples Center,"34.0430 N, 118.2673 W"
FedExForum,
American Airlines Arena,
Fiserv Forum,
Target Center,
Smoothie King Center,
Madison Square Garden,
Chesapeake Energy Arena,
Amway Center,
Wells Fargo Center,
Talking Stick Resort Arena,
Moda Center,
Golden 1 Center,
AT&T Center,
Scotiabank Arena,
Vivint Smart Home Arena,
Capital One Arena,
