city,name,abbreviation,arena,general_manager,head_coach
Atlanta,Hawks,ATL,State Farm Arena,Travis Schlenk,Lloyd Pierce
Boston,Celtics,BOS,TD Garden,Danny Ainge,Brad Stevens
Brooklyn,Nets,BKN,Barclays Center,Sean Marks,Steve Nash
Charlotte,Hornets,CHA,Spectrum Center,Mitch Kupchak,James Borrego
Chicago,Bulls,CHI,United Center,Arturas Karnisovas,Billy Donovan
Cleveland,Cavaliers,CLE,Rocket Mortgage FieldHouse,Koby Altman,JB Bickerstaff
Dallas,Mavericks,DAL,American Airlines Center,Donnie Nelson,Rick Carlisle
Denver,Nuggets,DEN,Pepsi Center,Calvin Booth,Michael Malone
Detroit,Pistons,DET,Little Caesars Arena,Ed Stefanski,Dwane Casey
Golden State,Warriors,GSW,Chase Center,Bob Myers,Steve Kerr
Houston,Rockets,HOU,Toyota Center,Daryl Morey,
Indiana,Pacers,IND,Bankers Life Fieldhouse,Chad Buchanan,
Los Angeles,Clippers,LAC,Staples Center,Michael Winger,
Los Angeles,Lakers,LAL,Staples Center,Rob Pelinka,Frank Vogel
Memphis,Grizzlies,MEM,FedExForum,Zach Kleiman,Taylor Jenkins
Miami,Heat,MIA,American Airlines Arena,Andy Elisburg,Erik Spoelstra
Milwaukee,Bucks,MIL,Fiserv Forum,Jon Horst,Mike Budenholzer
Minnesota,Timberwolves,MIN,Target Center,Scott Layden,Ryan Saunders
New Orleans,Pelicans,NOP,Smoothie King Center,Trajan Langdon,
New York,Knicks,NYK,Madison Square Garden,Scott Perry,Tom Thibodeau
Oklahoma City,Thunder,OKC,Chesapeake Energy Arena,Sam Presti,
Orlando,Magic,ORL,Amway Center,John Hammond,Steve Clifford
Philadelphia,76ers,PHI,Wells Fargo Center,Elton Brand,Doc Rivers
Phoenix,Suns,PHX,Talking Stick Resort Arena,James Jones,Monty Williams
Portland,Trail Blazers,POR,Moda Center,Neil Olshey,Terry Stotts
Sacramento,Kings,SAC,Golden 1 Center,Monte McNair,Luke Walton
San Antonio,Spurs,SAS,AT&T Center,RC Buford,Gregg Popovich
Toronto,Raptors,TOR,Scotiabank Arena,Bobby Webster,Nick Nurse
Utah,Jazz,UTA,Vivint Smart Home Arena,Dennis Lindsey,Quin Snyder
Washington,Wizards,WAS,Capital One Arena,Tommy Sheppard,Scott Brooks
